iter	MultiClass
0	1.031469149
1	0.9811810365
2	0.9376653689
3	0.9025496382
4	0.8733158695
5	0.8437530701
6	0.8188862211
7	0.797045939
8	0.7759546295
9	0.7578142174
10	0.7437100035
11	0.7302164589
12	0.7189924632
13	0.7091093413
14	0.7004789291
15	0.6904857312
16	0.6818565263
17	0.673872731
18	0.6653656931
19	0.6585038456
20	0.6518283265
21	0.6455164739
22	0.6402425228
23	0.6351359747
24	0.6310894395
25	0.6254374433
26	0.6216599437
27	0.6176358842
28	0.6133779413
29	0.6092776416
30	0.6065224241
31	0.6036178122
32	0.6000789457
33	0.5975420381
34	0.5942517268
35	0.5913205249
36	0.5883789435
37	0.5858435158
38	0.5837015227
39	0.5828091804
40	0.5806241648
41	0.5790318725
42	0.5771006349
43	0.5757819548
44	0.5736162727
45	0.5716667572
46	0.5701959076
47	0.5691214017
48	0.5667166501
49	0.5650234336
50	0.5631000003
51	0.561579048
52	0.5591281588
53	0.557302928
54	0.5556569555
55	0.55495953
56	0.5534490453
57	0.5519121337
58	0.5505042027
59	0.5497402631
60	0.5480793479
61	0.5469614215
62	0.5457245828
63	0.5445952866
64	0.5428933843
65	0.5418589961
66	0.5400991163
67	0.5393414695
68	0.5376574852
69	0.5364774979
70	0.5352786862
71	0.5344124288
72	0.5334833408
73	0.5326752159
74	0.5308672359
75	0.5295072859
76	0.5287947885
77	0.5281013144
78	0.5276342832
79	0.5267037777
80	0.5260061031
81	0.5253974518
82	0.5236771776
83	0.522841563
84	0.5216791981
85	0.520052345
86	0.5195288486
87	0.5188357504
88	0.5182578366
89	0.5176568264
90	0.5165097288
91	0.5153526118
92	0.5151914484
93	0.5142784095
94	0.5135645566
95	0.5123173376
96	0.5106116478
97	0.5089415489
98	0.5075277611
99	0.5057221261
100	0.5048542543
101	0.5042483032
102	0.5028462327
103	0.5019701222
104	0.5011476612
105	0.4992685078
106	0.4982036932
107	0.4974051808
108	0.4964789896
109	0.4959693979
110	0.495167182
111	0.4941283284
112	0.4927456297
113	0.4918808109
114	0.490974177
115	0.4895349081
116	0.4886128178
117	0.4877458812
118	0.4867600587
119	0.4852998536
120	0.4838865164
121	0.4832986296
122	0.4826862596
123	0.4819559458
124	0.4810103525
125	0.480217662
126	0.4792127503
127	0.4783998559
128	0.4772890108
129	0.4765484462
130	0.4756077171
131	0.4738397255
132	0.4726790133
133	0.4712697137
134	0.4703666954
135	0.4691833719
136	0.4676689893
137	0.4665871483
138	0.4656676051
139	0.46437441
140	0.4637693065
141	0.4627674472
142	0.4613524362
143	0.4604095176
144	0.4595139791
145	0.4589561236
146	0.458326328
147	0.4576008873
148	0.4565535934
149	0.4556356763
150	0.4541484569
151	0.4530458571
152	0.4527722898
153	0.4522599638
154	0.4514027624
155	0.4508380997
156	0.4501433994
157	0.4491620839
158	0.4484095822
159	0.447603178
160	0.4468850557
161	0.4457141548
162	0.4451797301
163	0.4447266344
164	0.4438845988
165	0.4430902568
166	0.4424800368
167	0.4418084411
168	0.4411538669
169	0.440479574
170	0.4400593909
171	0.4394037161
172	0.4386128589
173	0.4377387193
174	0.4376137491
175	0.4368704206
176	0.4361621879
177	0.4354947469
178	0.4344993679
179	0.4338882128
180	0.4329393176
181	0.4326092607
182	0.4320916644
183	0.4313128553
184	0.4309089146
185	0.4298238766
186	0.4285839666
187	0.4278803474
188	0.4272052318
189	0.4269210949
190	0.4264204631
191	0.4259541791
192	0.4249872863
193	0.4238697982
194	0.4234202085
195	0.422616011
196	0.4219858486
197	0.4209763143
198	0.4202902898
199	0.4192501309
200	0.4184082756
201	0.4179749172
202	0.4175917939
203	0.4166482855
204	0.4157097015
205	0.4151280465
206	0.4147328944
207	0.4140728595
208	0.4131963958
209	0.4124384873
210	0.4118033903
211	0.4109994636
212	0.4101873446
213	0.4097587195
214	0.4093253217
215	0.408962924
216	0.4086542137
217	0.407685627
218	0.4071868087
219	0.4066655705
220	0.4063679406
221	0.4057340198
222	0.4047653302
223	0.4041970786
224	0.4037085683
225	0.4031054347
226	0.4028240956
227	0.4019956484
228	0.4016703432
229	0.4009264503
230	0.400102101
231	0.3995421164
232	0.3993969919
233	0.3989588679
234	0.3982932151
235	0.3977687172
236	0.3973922425
237	0.3969560655
238	0.3963085882
239	0.3959188454
240	0.395405853
241	0.3946759536
242	0.3942394203
243	0.3938476208
244	0.3929026395
245	0.392196834
246	0.3916877403
247	0.3912318976
248	0.3910875518
249	0.389964356
250	0.3894566763
251	0.3890571385
252	0.3883246021
253	0.3877388818
254	0.386809918
255	0.3864216768
256	0.3858090267
257	0.3852585303
258	0.384830838
259	0.3842284319
260	0.3834250352
261	0.3829267873
262	0.3822757535
263	0.3819850654
264	0.3812859392
265	0.3802449201
266	0.3796555979
267	0.3788968884
268	0.3782163984
269	0.3776965235
270	0.3771198577
271	0.3763571964
272	0.3756882555
273	0.3752458285
274	0.3743128305
275	0.3740550972
276	0.3737922767
277	0.3732776198
278	0.3729501677
279	0.3725290364
280	0.3722466667
281	0.3719321348
282	0.3714787168
283	0.3709632353
284	0.3704812432
285	0.3695298167
286	0.3691871561
287	0.3685327512
288	0.3680966644
289	0.3671839757
290	0.3659871046
291	0.3654582092
292	0.3650553063
293	0.3644374356
294	0.3638284878
295	0.3633602923
296	0.3626200413
297	0.3621654885
298	0.361316501
299	0.3609553479
300	0.3608118323
301	0.3596505667
302	0.3591069067
303	0.3585518823
304	0.3581881229
305	0.3576628392
306	0.3573370556
307	0.3566610425
308	0.3556008032
309	0.3553932727
310	0.3546197586
311	0.354193318
312	0.3537476271
313	0.3533112035
314	0.3526604741
315	0.3519372777
316	0.3510865521
317	0.3506020233
318	0.3503101337
319	0.3499962799
320	0.3495146635
321	0.3492519073
322	0.3484557472
323	0.3479885498
324	0.347071163
325	0.3466092657
326	0.3459003244
327	0.3455786786
328	0.3447647221
329	0.3437450931
330	0.3427016378
331	0.3420389449
332	0.3416246245
333	0.3412594321
334	0.3409098252
335	0.3402701142
336	0.3401163851
337	0.3398904129
338	0.3389910378
339	0.3383698012
340	0.3379152965
341	0.3375960516
342	0.3371762206
343	0.3364276135
344	0.336048406
345	0.3358862578
346	0.3356234226
347	0.33505717
348	0.3344028198
349	0.3335713937
350	0.3330166044
351	0.3325111437
352	0.3322692982
353	0.3313688175
354	0.3311064937
355	0.3307524087
356	0.330026062
357	0.3295708815
358	0.3293336279
359	0.3285364795
360	0.3280839458
361	0.3273065503
362	0.326790628
363	0.3261451741
364	0.3257060217
365	0.3246907904
366	0.3243065835
367	0.3236410599
368	0.322857903
369	0.3226709992
370	0.3221227063
371	0.3216401486
372	0.3211471041
373	0.3208209229
374	0.3204617821
375	0.3198171941
376	0.3194166442
377	0.318919289
378	0.3185046129
379	0.3179681219
380	0.3175346693
381	0.3168383203
382	0.3164417564
383	0.3160823486
384	0.31565749
385	0.3153873878
386	0.315113217
387	0.3149132861
388	0.3146330498
389	0.3140611828
390	0.313740533
391	0.3133959141
392	0.3128977993
393	0.3124868507
394	0.3121108626
395	0.31172764
396	0.3115435899
397	0.3109028826
398	0.3104141808
399	0.3100275098
400	0.309474733
401	0.3090455721
402	0.3088527733
403	0.3085045738
404	0.3083499804
405	0.3075793655
406	0.306813745
407	0.3064782708
408	0.3062229535
409	0.305909112
410	0.3056849734
411	0.3052306706
412	0.3046621185
413	0.3044156147
414	0.3042377221
415	0.3040080141
416	0.3034513943
417	0.3030411436
418	0.3025189058
419	0.3021351358
420	0.3015617948
421	0.3011312089
422	0.3004471167
423	0.2998797839
424	0.2995758483
425	0.2989581617
426	0.2985881976
427	0.2981568349
428	0.297883312
429	0.2975872563
430	0.2973963234
431	0.2970967437
432	0.2967593787
433	0.2962004236
434	0.2957994293
435	0.2952145055
436	0.294943513
437	0.2945549361
438	0.2937109833
439	0.2931429654
440	0.2924873248
441	0.292299701
442	0.2919085424
443	0.2913652254
444	0.2905614161
445	0.2901850042
446	0.2899149283
447	0.2893278195
448	0.2886859561
449	0.2884654559
450	0.2882957833
451	0.2879067702
452	0.2873873623
453	0.287094743
454	0.2867148311
455	0.2860503902
456	0.2857927972
457	0.2856220264
458	0.2852494628
459	0.285064512
460	0.2846868806
461	0.2842636193
462	0.2840003808
463	0.2837059182
464	0.2833091972
465	0.2827891064
466	0.2825396689
467	0.2821921298
468	0.281682047
469	0.2814557187
470	0.2812471148
471	0.2807060425
472	0.2804047986
473	0.280274724
474	0.2798647002
475	0.2796951204
476	0.2791436937
477	0.2788243895
478	0.2785097502
479	0.2782796677
480	0.2778829449
481	0.2775566891
482	0.2773220807
483	0.2768677312
484	0.2764516781
485	0.2762101207
486	0.2756616437
487	0.2751537787
488	0.2745399575
489	0.2739011232
490	0.2735987784
491	0.2731402948
492	0.2726229711
493	0.27245342
494	0.2723445298
495	0.2720287449
496	0.2715413012
497	0.2713573159
498	0.2711586574
499	0.2706598208
500	0.2702918182
501	0.2699538999
502	0.2695948916
503	0.269036746
504	0.268456274
505	0.2681046629
506	0.2676067725
507	0.2668547236
508	0.2664277609
509	0.2661207677
510	0.2656018293
511	0.2652359889
512	0.2645841823
513	0.2642773817
514	0.264085131
515	0.2638096303
516	0.2635456603
517	0.263202966
518	0.262925285
519	0.2625914915
520	0.2620897964
521	0.2616813757
522	0.2615704764
523	0.2610644874
524	0.2607115715
525	0.2602693814
526	0.2596669263
527	0.2593993568
528	0.2590232095
529	0.2584639556
530	0.258043526
531	0.2577026609
532	0.2572516319
533	0.2570227699
534	0.2564882568
535	0.2562334624
536	0.2556835487
537	0.2553163915
538	0.2550953204
539	0.254841638
540	0.2544797949
541	0.2542499468
542	0.2539634285
543	0.2536955674
544	0.2534173288
545	0.2526575442
546	0.252307111
547	0.2517970752
548	0.2515386249
549	0.2513947438
550	0.2508984666
551	0.2506414344
552	0.249987272
553	0.2497874969
554	0.2496069134
555	0.2494826551
556	0.2488539647
557	0.2485645836
558	0.248113737
559	0.2477410453
560	0.2474144486
561	0.2469051359
562	0.2465341164
563	0.2464442116
564	0.2460497791
565	0.2456999482
566	0.2454489076
567	0.2451464429
568	0.244843027
569	0.2446588748
570	0.2443952923
571	0.2442195233
572	0.2438076102
573	0.2435733597
574	0.2430294553
575	0.2426035758
576	0.2424261145
577	0.2422334461
578	0.2416522333
579	0.2412074395
580	0.2408704348
581	0.24046594
582	0.2402257188
583	0.2400456473
584	0.2394989173
585	0.2391604403
586	0.2389563411
587	0.238723548
588	0.2385023934
589	0.2380821393
590	0.2378387885
591	0.2376317479
592	0.23712837
593	0.2368265402
594	0.2365376641
595	0.2358000324
596	0.2355702016
597	0.2353851715
598	0.2349929406
599	0.2346892319
600	0.234497966
601	0.234164756
602	0.2338305521
603	0.2332247983
604	0.2327984185
605	0.2325576438
606	0.23240665
607	0.2321976151
608	0.2319337823
609	0.2316187641
610	0.2312949793
611	0.2310235312
612	0.2305211535
613	0.2303763062
614	0.2300443511
615	0.229783245
616	0.2296709825
617	0.2295767064
618	0.2292369719
619	0.2290010327
620	0.2287673773
621	0.2286640444
622	0.228564655
623	0.2284021983
624	0.2282180444
625	0.2278309125
626	0.2273133379
627	0.2268860609
628	0.2265957537
629	0.2260794048
630	0.2258216612
631	0.2254231499
632	0.2251168171
633	0.2247977513
634	0.2246462992
635	0.2242329767
636	0.2240391162
637	0.2238265632
638	0.2230214913
639	0.2228939581
640	0.2224126062
641	0.2221103983
642	0.2215814942
643	0.221198837
644	0.2210256971
645	0.2204982494
646	0.2202814408
647	0.2198738652
648	0.2197105429
649	0.2191648559
650	0.2188088602
651	0.218650096
652	0.2184719685
653	0.2183878684
654	0.2180778035
655	0.2177039178
656	0.2172821855
657	0.2169561684
658	0.2165697747
659	0.2163655269
660	0.2159015884
661	0.2156758633
662	0.2153255609
663	0.2149040013
664	0.2144895624
665	0.21417473
666	0.213994823
667	0.2137636938
668	0.2135155881
669	0.213366645
670	0.2129250047
671	0.2125820684
672	0.2124134009
673	0.2120377485
674	0.2117670539
675	0.2112240822
676	0.2109153805
677	0.2107865311
678	0.2106003103
679	0.2104114184
680	0.2101388532
681	0.209764133
682	0.2095223617
683	0.2093681741
684	0.2090059696
685	0.2088228595
686	0.2086760299
687	0.2085061814
688	0.2082599029
689	0.2077154519
690	0.2075075377
691	0.2071697315
692	0.2067809624
693	0.206484089
694	0.2063138312
695	0.2060309508
696	0.2057395132
697	0.2053515301
698	0.2050876202
699	0.2048378137
700	0.2046670728
701	0.204181078
702	0.2038302023
703	0.2036251645
704	0.2034819009
705	0.2032228341
706	0.2029488089
707	0.2027662478
708	0.2025171184
709	0.202366007
710	0.2021380893
711	0.202012944
712	0.2015470074
713	0.2012557084
714	0.201069513
715	0.2005843328
716	0.2002715582
717	0.2000917513
718	0.1999429409
719	0.199757312
720	0.1995597892
721	0.199414416
722	0.1992185118
723	0.1990965483
724	0.1987956029
725	0.198633449
726	0.1983761074
727	0.1981508841
728	0.1979084953
729	0.1978433881
730	0.1975320511
731	0.1972398832
732	0.1969432914
733	0.1967143418
734	0.1964076172
735	0.1962898753
736	0.1960748353
737	0.1956419968
738	0.1955557897
739	0.1953190149
740	0.194882953
741	0.1947907796
742	0.1945351232
743	0.1941552746
744	0.1940274582
745	0.1938552078
746	0.1934908193
747	0.1930888582
748	0.1930067304
749	0.1928380083
750	0.1927107517
751	0.1923506931
752	0.192108051
753	0.1918281742
754	0.1916352506
755	0.1914628548
756	0.1910182339
757	0.1908738841
758	0.1907240415
759	0.1902309662
760	0.1900894016
761	0.189824526
762	0.1897250323
763	0.1895120365
764	0.1893319508
765	0.1890483029
766	0.1889392386
767	0.1887461104
768	0.1884878065
769	0.188209257
770	0.1879791913
771	0.1877924755
772	0.1875718102
773	0.1873678013
774	0.18713235
775	0.187042018
776	0.186964305
777	0.1867147842
778	0.1866097619
779	0.1863786585
780	0.1861895011
781	0.1860213505
782	0.1857752732
783	0.1855020587
784	0.1852626189
785	0.1850681853
786	0.1846757326
787	0.1843133071
788	0.1840617348
789	0.1838449386
790	0.183623475
791	0.1833994628
792	0.1830489543
793	0.1829091782
794	0.1825389579
795	0.1823880209
796	0.1822962691
797	0.182216532
798	0.1819587039
799	0.1816900402
800	0.1814125806
801	0.1811323918
802	0.1808749079
803	0.1806731806
804	0.1803499457
805	0.1801049052
806	0.1798128008
807	0.1796208222
808	0.1794410863
809	0.1792166859
810	0.1791368592
811	0.1789811476
812	0.1788050478
813	0.1785592857
814	0.1784286021
815	0.1783580082
816	0.1779575671
817	0.1777810987
818	0.1776649684
819	0.177311452
820	0.1770540022
821	0.1768791305
822	0.1764715435
823	0.176345645
