iter	Passed	Remaining
0	4	4830
1	8	4363
2	10	3555
3	14	3555
4	18	3598
5	22	3797
6	26	3808
7	30	3829
8	35	3862
9	38	3838
10	42	3850
11	46	3862
12	51	3932
13	56	3997
14	60	3967
15	64	3987
16	68	3959
17	71	3925
18	75	3876
19	78	3869
20	83	3886
21	86	3833
22	89	3817
23	93	3798
24	97	3804
25	100	3775
26	104	3770
27	107	3742
28	111	3739
29	114	3705
30	118	3693
31	120	3658
32	125	3667
33	128	3651
34	132	3648
35	135	3629
36	139	3622
37	142	3614
38	146	3603
39	149	3587
40	152	3574
41	156	3566
42	160	3571
43	164	3573
44	167	3552
45	172	3578
46	177	3606
47	181	3598
48	186	3620
49	191	3636
50	194	3618
51	198	3618
52	201	3606
53	205	3607
54	208	3587
55	212	3582
56	216	3579
57	220	3583
58	224	3584
59	227	3565
60	231	3557
61	234	3546
62	238	3550
63	241	3534
64	246	3539
65	249	3530
66	253	3529
67	256	3513
68	260	3511
69	264	3509
70	267	3505
71	271	3496
72	274	3483
73	279	3494
74	282	3488
75	287	3492
76	290	3485
77	294	3484
78	298	3480
79	301	3468
80	304	3458
81	308	3453
82	312	3451
83	315	3439
84	318	3433
85	322	3431
86	326	3426
87	329	3413
88	332	3407
89	335	3394
90	341	3406
91	345	3405
92	346	3382
93	349	3371
94	354	3374
95	357	3369
96	361	3366
97	365	3360
98	369	3361
99	373	3362
100	376	3352
101	380	3348
102	384	3344
103	388	3346
104	391	3335
105	395	3332
106	398	3326
107	402	3322
108	405	3315
109	408	3307
110	412	3300
111	415	3294
112	419	3289
113	422	3280
114	425	3272
115	428	3267
116	432	3260
117	435	3253
118	438	3244
119	441	3241
120	446	3240
121	450	3240
122	454	3240
123	457	3231
124	461	3233
125	465	3229
126	468	3223
127	472	3215
128	476	3217
129	480	3216
130	484	3210
131	488	3212
132	491	3204
133	495	3201
134	498	3193
135	501	3188
136	505	3182
137	509	3181
138	512	3176
139	516	3170
140	519	3163
141	522	3159
142	526	3153
143	529	3147
144	532	3138
145	536	3137
146	539	3129
147	543	3125
148	546	3119
149	550	3121
150	554	3117
151	557	3113
152	561	3108
153	564	3103
154	568	3098
155	571	3091
156	574	3086
157	578	3083
158	582	3083
159	586	3076
160	590	3075
161	593	3070
162	596	3065
163	599	3058
164	603	3053
165	606	3046
166	610	3044
167	613	3038
168	617	3034
169	620	3027
170	624	3026
171	627	3022
172	631	3017
173	634	3012
174	638	3010
175	642	3008
176	645	3001
177	649	2998
178	653	2995
179	657	2993
180	660	2987
181	663	2984
182	666	2977
183	671	2976
184	674	2971
185	678	2968
186	681	2963
187	685	2960
188	689	2959
189	692	2954
190	696	2951
191	700	2946
192	703	2943
193	706	2936
194	710	2932
195	713	2925
196	718	2926
197	723	2929
198	726	2924
199	730	2922
200	734	2918
201	738	2916
202	742	2914
203	745	2910
204	749	2907
205	753	2903
206	756	2899
207	760	2894
208	764	2894
209	767	2888
210	771	2886
211	776	2885
212	779	2880
213	783	2877
214	786	2871
215	790	2868
216	793	2863
217	797	2861
218	800	2855
219	804	2852
220	807	2846
221	811	2843
222	814	2837
223	818	2834
224	821	2828
225	825	2827
226	828	2821
227	832	2817
228	835	2812
229	839	2810
230	843	2807
231	846	2801
232	849	2795
233	853	2793
234	857	2791
235	860	2785
236	864	2782
237	867	2778
238	872	2779
239	876	2775
240	880	2771
241	883	2768
242	887	2763
243	890	2760
244	894	2756
245	898	2753
246	901	2748
247	905	2746
248	908	2740
249	912	2736
250	915	2731
251	919	2729
252	922	2723
253	926	2720
254	929	2715
255	933	2713
256	937	2709
257	940	2704
258	944	2701
259	947	2697
260	951	2694
261	954	2689
262	958	2687
263	962	2682
264	966	2681
265	969	2675
266	973	2673
267	978	2672
268	981	2668
269	986	2666
270	989	2661
271	993	2659
272	996	2653
273	1000	2649
274	1002	2644
275	1006	2641
276	1010	2636
277	1014	2634
278	1017	2629
279	1021	2626
280	1024	2622
281	1028	2617
282	1031	2612
283	1034	2608
284	1038	2605
285	1042	2601
286	1045	2597
287	1048	2592
288	1051	2588
289	1056	2585
290	1060	2584
291	1063	2579
292	1068	2579
293	1072	2576
294	1076	2573
295	1081	2572
296	1085	2570
297	1090	2568
298	1094	2566
299	1098	2563
300	1102	2559
301	1105	2555
302	1109	2551
303	1112	2547
304	1116	2543
305	1120	2541
306	1123	2536
307	1127	2533
308	1132	2531
309	1135	2527
310	1138	2523
311	1142	2518
312	1145	2514
313	1149	2511
314	1153	2508
315	1156	2503
316	1161	2502
317	1164	2497
318	1168	2494
319	1171	2488
320	1175	2486
321	1178	2481
322	1182	2479
323	1186	2476
324	1191	2474
325	1196	2473
326	1199	2469
327	1202	2464
328	1206	2460
329	1210	2457
330	1214	2454
331	1217	2449
332	1221	2447
333	1225	2443
334	1229	2440
335	1232	2434
336	1236	2431
337	1239	2426
338	1242	2423
339	1245	2418
340	1249	2414
341	1252	2409
342	1257	2407
343	1261	2405
344	1265	2401
345	1269	2399
346	1274	2397
347	1277	2393
348	1281	2390
349	1285	2386
350	1288	2383
351	1291	2378
352	1295	2374
353	1299	2371
354	1303	2368
355	1307	2364
356	1311	2361
357	1314	2357
358	1318	2353
359	1322	2350
360	1324	2345
361	1328	2341
362	1332	2337
363	1336	2334
364	1339	2329
365	1342	2325
366	1345	2321
367	1350	2319
368	1353	2314
369	1357	2312
370	1362	2310
371	1365	2305
372	1370	2303
373	1373	2299
374	1378	2296
375	1382	2293
376	1385	2288
377	1388	2284
378	1391	2280
379	1395	2276
380	1398	2271
381	1401	2267
382	1405	2264
383	1411	2263
384	1414	2259
385	1418	2255
386	1422	2252
387	1425	2248
388	1428	2244
389	1432	2239
390	1435	2236
391	1439	2232
392	1443	2229
393	1446	2224
394	1450	2222
395	1454	2217
396	1458	2215
397	1462	2211
398	1466	2208
399	1470	2206
400	1474	2202
401	1478	2199
402	1482	2196
403	1487	2193
404	1491	2191
405	1495	2188
406	1500	2186
407	1505	2184
408	1509	2181
409	1513	2177
410	1517	2175
411	1523	2173
412	1533	2180
413	1540	2179
414	1545	2178
415	1549	2175
416	1553	2171
417	1558	2170
418	1562	2166
419	1565	2162
420	1569	2158
421	1572	2154
422	1576	2150
423	1580	2146
424	1583	2142
425	1586	2138
426	1590	2134
427	1594	2130
428	1598	2127
429	1600	2122
430	1605	2118
431	1608	2114
432	1611	2110
433	1615	2106
434	1618	2102
435	1622	2098
436	1625	2094
437	1628	2090
438	1632	2086
439	1636	2082
440	1640	2078
441	1643	2074
442	1646	2070
443	1649	2066
444	1653	2062
445	1657	2058
446	1660	2053
447	1663	2049
448	1667	2046
449	1671	2043
450	1675	2039
451	1679	2035
452	1682	2031
453	1686	2028
454	1690	2024
455	1693	2020
456	1697	2017
457	1700	2012
458	1704	2008
459	1707	2004
460	1710	2000
461	1713	1995
462	1716	1991
463	1720	1987
464	1722	1982
465	1727	1979
466	1731	1976
467	1735	1972
468	1740	1970
469	1744	1966
470	1748	1963
471	1752	1959
472	1755	1956
473	1773	1968
474	1777	1964
475	1781	1960
476	1784	1956
477	1787	1952
478	1791	1948
479	1794	1944
480	1798	1940
481	1801	1936
482	1805	1932
483	1808	1927
484	1811	1923
485	1814	1919
486	1818	1915
487	1821	1911
488	1825	1907
489	1828	1903
490	1831	1898
491	1835	1895
492	1839	1891
493	1842	1887
494	1845	1882
495	1849	1878
496	1853	1875
497	1856	1871
498	1860	1867
499	1863	1863
500	1867	1859
501	1870	1855
502	1874	1852
503	1878	1848
504	1882	1844
505	1885	1840
506	1888	1836
507	1892	1832
508	1896	1829
509	1899	1825
510	1903	1821
511	1906	1817
512	1910	1813
513	1913	1809
514	1916	1805
515	1920	1801
516	1924	1797
517	1928	1794
518	1931	1789
519	1935	1786
520	1938	1782
521	1942	1778
522	1945	1774
523	1949	1771
524	1952	1766
525	1956	1763
526	1960	1759
527	1964	1755
528	1968	1752
529	1971	1748
530	1975	1745
531	1978	1740
532	1983	1737
533	1986	1733
534	1990	1730
535	1993	1725
536	1997	1722
537	2000	1718
538	2004	1714
539	2008	1710
540	2012	1707
541	2016	1704
542	2020	1700
543	2025	1697
544	2029	1694
545	2034	1691
546	2038	1688
547	2044	1686
548	2048	1683
549	2053	1680
550	2059	1678
551	2064	1675
552	2068	1672
553	2074	1670
554	2078	1666
555	2082	1663
556	2086	1659
557	2091	1657
558	2096	1653
559	2100	1650
560	2106	1648
561	2111	1645
562	2115	1642
563	2120	1639
564	2126	1637
565	2131	1634
566	2135	1630
567	2140	1627
568	2146	1625
569	2151	1623
570	2156	1619
571	2161	1617
572	2168	1615
573	2174	1613
574	2179	1611
575	2184	1608
576	2189	1604
577	2194	1602
578	2200	1600
579	2207	1598
580	2212	1595
581	2216	1592
582	2221	1589
583	2227	1586
584	2232	1583
585	2235	1579
586	2240	1576
587	2243	1572
588	2248	1569
589	2256	1568
590	2262	1565
591	2267	1562
592	2272	1559
593	2276	1555
594	2281	1552
595	2286	1550
596	2291	1546
597	2295	1543
598	2301	1540
599	2307	1538
600	2311	1534
601	2315	1530
602	2320	1528
603	2328	1526
604	2333	1523
605	2337	1519
606	2342	1516
607	2348	1513
608	2352	1510
609	2356	1506
610	2361	1503
611	2366	1500
612	2370	1496
613	2375	1493
614	2380	1490
615	2384	1486
616	2389	1483
617	2395	1480
618	2401	1478
619	2405	1474
620	2409	1470
621	2414	1467
622	2418	1463
623	2422	1459
624	2427	1456
625	2432	1452
626	2436	1449
627	2441	1446
628	2447	1443
629	2451	1439
630	2456	1436
631	2461	1433
632	2465	1429
633	2469	1425
634	2474	1422
635	2478	1418
636	2483	1415
637	2489	1412
638	2494	1409
